场站名称,省份,市区,区/县,详细地址,负责人,设备MAC地址,设备ICCID,设备场站序号,vpnIP,产品型号
咸阳太平镇充电站,陕西省,咸阳市,泾阳县,太平镇南广场,李一睿,5a:68:b6:66:aa:ac," 89860440192390023498",1号桩,168.55.4.118,160kw/1-4
湖前便民充电站,福建省,泉州市,德化县,西侧约140米,陈渊杰,c6:6e:71:95:55:49," 898608331924D0858299",1号桩,168.55.2.245,160kw/1-4
湖前便民充电站,福建省,泉州市,德化县,西侧约140米,陈渊杰,82:19:7d:5f:f2:05," 898608331924D0856095",3号桩,168.55.5.41,160kw/1-4
范场160kw快充站,江苏省,宿迁市,沭阳县,范场村沭李线（范场村村民委员会）,刘召美,82:31:7d:92:2a:da," 898608331924D0855128",1号桩,168.55.3.85,160kw/1-4
山东省威海市环翠区黄泥沟村广场,山东省,威海市,环翠区,山东省威海市环翠区黄泥沟村,王祥宇,5a:d5:89:24:a0:6d," 898608331924D0855921",1号桩,168.55.5.35,160kw/1-4
山西太原鑫诚利2期超充站,山西省,太原市,小店区,小牛线山西鑫诚利2期超充站,王文忠,62:0c:0b:a9:fa:33," 898608331924D0855123",1号桩,168.55.4.200,160kw/1-4
山西太原鑫诚利2期超充站,山西省,太原市,小店区,小牛线山西鑫诚利2期超充站,王文忠,fa:e2:0f:0f:39:3c," 898608331924D0854435",2号桩,168.55.5.231,160kw/1-4
宿州快豹刘圩充电站,安徽省,宿州市,,刘圩镇刘圩大闸北,周超,1e:9e:ff:30:0e:fc," 89860440192390023735",1号桩,168.55.1.76,160kw/1-4
亿事达二号充电站,新疆维吾尔自治区,昌吉回族自治州,昌吉市,新疆维吾尔自治区昌吉回族自治州昌吉市绿洲路街道屯河路新天地商务港,赵民章,b2:19:bd:3d:ab:38," 898608331924D0855116",1号桩,168.55.1.75,160kw/1-4
公牛河南驻马店西平亨通充电站,河南省,驻马店市,西平县,西平,姬铭阳,3e:69:0a:b6:e1:e6," 89860440192390022579",1号桩,168.55.6.89,320kw
大理德成吊装充电站400kw站,云南省,大理白族自治州,大理市,下关街道德成吊装,雷野,16:01:95:8c:e4:26," 898608331924D0854386",1号桩,168.55.4.137,400kw
大理德成吊装充电站400kw站,云南省,大理白族自治州,大理市,下关街道德成吊装,雷野,0e:0c:b6:aa:32:a9," 898608331924D0854387",2号桩,168.55.5.92,400kw
山西晋中软云能源（美家美超市充电站）,山西省,晋中市,,西关正街1号,王文忠,0e:33:38:ff:21:01," 898604F7192392293356",1号桩,168.55.5.77,160kw/1-4
庞西村庞西组充电站,陕西省,西安市,,代王街道庞西村,刘文坤,6e:b4:9d:0c:e5:4d," 898604F7192392295864",1号桩,168.55.3.221,120kw
归仁160kW快充,江苏省,宿迁市,泗洪县,归仁镇445乡道诚德家园小区,刘召美,fa:1f:5d:b1:1c:f3," 898608331924D0853961",1号桩,168.55.0.238,160kw/1-4
灵璧县马集快速充电站,安徽省,宿州市,灵璧县,马集村委会警务中心充电站,周超,3a:2b:e5:ad:99:61," 898608331924D0855937",1号桩,168.55.3.226,160kw/1-4
金利来超市充电站,山东省,潍坊市,寒亭区,大家洼街道石桥村,王祥宇,4e:11:82:e0:e0:95," 898607B11924C0334831",1号桩,168.55.0.120,160kw/1-4
睿趣九集琪宇航工艺超充站,湖北省,襄阳市,南漳县,九集镇305省道湖北琪宇航纺织工艺品有限公司工厂门口停车场,何东山,0e:bd:60:c4:70:0f," 89860440192390022572",1号桩,168.55.4.190,160kw/1-4
公牛河南郑州巩义市幸源充电站,河南省,郑州市,巩义市,巩义市建业路与铝电路交叉路口东侧,姬铭阳,2a:44:e2:b8:e0:08," 898608331924D0855057",1号桩,168.55.2.30,160kw/1-4
公牛河南郑州巩义市幸源充电站,河南省,郑州市,巩义市,巩义市建业路与铝电路交叉路口东侧,姬铭阳,96:fc:47:66:d6:d2," 898608331924D0856158",2号桩,168.55.3.191,160kw/1-4
山东省德州市京源石化加油站充电站,山东省,德州市,,京源石化加油站充电站,王祥宇,3e:fe:66:6f:06:00," 898608331924D0855113",1号桩,168.55.3.15,160kw/1-4
浙江湖州安吉五福安置区充电站,浙江省,湖州市,安吉县,五福村委,包拯,ae:93:6a:0c:aa:56," 898608331924D0854437",1号桩,168.55.3.125,160kw/1-4
公牛雪山充电站,四川省,巴中市,通江县,公牛雪山充电站,廖洋,52:ae:60:d6:37:a5," 898607B11924C0334151",1号桩,168.55.4.191,160kw/1-4
云南昆明云居寻甸金世纪充电站,云南省,昆明市,寻甸回族彝族自治县,仁德镇风梧路63号寻甸金世纪大酒店,尹文泽,aa:22:69:aa:cd:ca," 898607B11924C0335392",1号桩,168.55.1.248,160kw/1-4
